Abies nebrodensis
Ablepharus kitaibelii
Abramis ballerus
Abramis bjoerkna
Abramis brama
Abramis sapa
Abramis vimba
Acanthodactylus erythrurus
Acanthodactylus schreiberi
Acanthurus monroviae
Accipiter brevipes
Accipiter gentilis
Accipiter nisus
Achillea glaberrima
Achillea thracica
Acipenser gueldenstaedtii
Acipenser naccarii
Acipenser nudiventris
Acipenser oxyrinchus
Acipenser ruthenus
Acipenser stellatus
Acipenser sturio
Acomys nesiotes
Aconitum corsicum
Aconitum firmum
Aconitum flerovii
Aconitum lasiocarpum
Aconitum napellus
Acrocephalus agricola
Acrocephalus arundinaceus
Acrocephalus dumetorum
Acrocephalus melanopogon
Acrocephalus paludicola
Acrocephalus palustris
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Actias isabellae
Actitis hypoleucos
Adenocarpus ombriosus
Adenophora lilifolia
Adonis cyllenea
Adonis distorta
Aegithalos caudatus
Aegolius funereus
Aegypius monachus
Aeonium balsamiferum
Aeonium gomerense
Aeonium saundersii
Aeshna viridis
Aethechinus algirus
Agama stellio
Agathidium pulchellum
Agkistrodon halys
Agriades glandon
Agrimonia pilosa
Agrostis gracilaxa
Aichryson dumosum
Aidablennius sphynx
Aix galericulata
Alauda arvensis
Alburnoides bipunctatus
Alburnus albidus
Alburnus alburnus
Alburnus belvica
Alburnus macedonicus
Alburnus mandrensis
Alburnus mento
Alburnus sarmaticus
Alburnus schischkovi
Alburnus vistonicus
Alburnus volviticus
Alburnus vulturius
Alca torda
Alcedo atthis
Alces alces
Aldrovanda vesiculosa
Alectoris barbara
Alectoris chukar
Alectoris graeca
Alectoris rufa
Alepocephalus bairdii
Algyroides fitzingeri
Algyroides marchi
Algyroides moreoticus
Algyroides nigropunctatus
Alisma wahlenbergii
Alkanna pinardii
Alle alle
Allium grosii
Allium regelianum
Allium vuralii
Alopex lagopus
Alopochen aegyptiacus
Alosa agone
Alosa algeriensis
Alosa alosa
Alosa caspia
Alosa fallax
Alosa immaculata
Alosa killarnensis
Alosa macedonica
Alosa maeotica
Alosa pontica
Alosa tanaica
Alosa vistonica
Alsophylax pipiens
Alyssum akamasicum
Alyssum borzaeanum
Alyssum pintodasilvae
Alyssum pyrenaicum
Alytes cisternasii
Alytes muletensis
Alytes obstetricans
Ameiurus melas
Ameiurus nebulosus
Ammi trifoliatum
Ammodytes tobianus
Anacamptis pyramidalis
Anacamptis urvilleana
Anacyclus latealatus
Anaecypris hispanica
Anagyris latifolia
Anarrhinum longipedicelatum
Anas acuta
Anas clypeata
Anas crecca
Anas discors
Anas penelope
Anas platyrhynchos
Anas querquedula
Anas strepera
Anatololacerta anatolica
Anatololacerta oertzeni
Anchusa crispa
Androcymbium europaeum
Androcymbium gramineum
Androcymbium psammophilum
Androcymbium rechingeri
Androsace cylindrica
Androsace mathildae
Androsace pyrenaica
Andryala crithmifolia
Andryala levitomentosa
Anemone uralensis
Angelica heterocarpa
Angelica palustris
Anguilla anguilla
Anguis fragilis
Anisus vorticulus
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser erythropus
Anser fabalis
Anthemis glaberrima
Anthemis halophila
Anthemis trotzkiana
Anthias anthias
Anthrenochernes stellae
Anthropoides virgo
Anthus berthelotti
Anthus campestris
Anthus cervinus
Anthus novaeseelandiae
Anthus petrosus
Anthus pratensis
Anthus richardi
Anthus spinoletta
Anthus trivialis
Anthyllis hystrix
Anthyllis lemanniana
Anthyllis lusitanica
Anthyllis vulneraria
Antirrhinum charidemi
Antirrhinum lopesianum
Apatura metis
Aphanius almiriensis
Aphanius baeticus
Aphanius fasciatus
Aphanius iberus
Aphanopus carbo
Aphia minuta
Apium bermejoi
Apium repens
Aplysina cavernicola
Aplysina sp.
Apodemus agrarius
Apodemus alpicola
Apodemus flavicollis
Apodemus microps
Apodemus sylvaticus
Apodemus uralensis
Apogon imberbis
Apristurus laurussonii
Apristurus maderensis
Apterichtus anguiformis
Apterichtus caecus
Apteromantis aptera
Apus affinis
Apus apus
Apus caffer
Apus melba
Apus pallidus
Apus unicolor
Aquila chrysaetos
Aquila clanga
Aquila heliaca
Aquila nipalensis
Aquila pomarina
Aquila rapax
Aquilegia alpina
Aquilegia bertolonii
Aquilegia kitaibelii
Aquilegia ottonis
Aquilegia pyrenaica
Arabis kennedyae
Arabis sadina
Arabis scopoliana
Aradus angularis
Arceuthobium azoricum
Archaeolacerta bedriagae
Archaeolacerta mosorensis
Archaeolacerta oxycephala
Arctagrostis latifolia
Arctophila fulva
Ardea cinerea
Ardea purpurea
Ardeola ralloides
Arenaria ciliata
Arenaria humifusa
Arenaria interpres
Arenaria nevadensis
Arenaria provincialis
Argyranthemum lidii
Argyranthemum pinnatifidum
Argyranthemum thalassophilum
Argyranthemum winteri
Argyropelecus hemigymnus
Argyrosomus regius
Aristolochia samsunensis
Armadillidium ghardalamensis
Armeria berlengensis
Armeria helodes
Armeria littoralis
Armeria neglecta
Armeria pseudarmeria
Armeria rouyana
Armeria sampaioi
Armeria soleirolii
Armeria velutina
Armoracia macrocarpa
Arnica montana
Arnoglossus kessleri
Artemisia campestris
Artemisia eriantha
Artemisia genipi
Artemisia granatensis
Artemisia insipida
Artemisia laciniata
Artemisia oelandica
Artemisia pancicii
